Respondent,Demographics,Demographics,Demographics,Satisfaction,Satisfaction,Satisfaction,Loyalty,Loyalty,Meta
R00439,70,F,East,3,4,2,Yes,No,2025-10-19
R00440,66,M,North,4,5,3,No,No,2025-03-18
R00441,63,F,North,2,2,5,Yes,Yes,2025-04-08
R00442,49,M,North,4,5,4,No,No,2025-04-07
R00443,61,Nonbinary,South,1,5,4,Yes,Yes,2025-01-18
R00444,29,M,North,1,1,4,Yes,Yes,2025-12-05
R00445,56,F,West,4,2,5,No,No,2025-06-14
R00446,33,Nonbinary,North,3,5,3,No,No,2025-12-19
R00447,80,F,North,4,3,4,Yes,Yes,2025-05-27
R00448,39,Nonbinary,East,2,2,1,Yes,No,2025-09-22
R00449,32,PreferNot,North,4,3,5,No,Yes,2025-11-12
R00450,42,M,West,1,3,4,No,Yes,2025-02-08
R00451,32,Nonbinary,West,3,5,5,No,No,2025-08-20
R00452,71,Nonbinary,East,5,4,5,No,No,2025-05-20
R00453,67,Nonbinary,North,1,5,2,No,No,2025-09-19
R00454,19,M,North,3,4,5,Yes,Yes,2025-11-17
R00455,52,Nonbinary,Central,5,3,1,Yes,No,2025-09-21
R00456,62,M,West,1,4,5,Yes,Yes,2025-03-24
R00457,55,Nonbinary,West,3,5,3,Yes,Yes,2025-02-02
R00458,69,F,South,3,5,1,No,Yes,2025-04-19
R00459,21,Nonbinary,West,4,4,3,Yes,Yes,2025-05-20
R00460,57,PreferNot,North,3,3,5,Yes,No,2025-08-14
R00461,27,Nonbinary,Central,4,4,5,No,Yes,2025-07-15
R00462,67,Nonbinary,Central,4,2,5,No,No,2025-12-02
R00463,34,Nonbinary,South,4,3,4,No,No,2025-10-16
R00464,56,F,West,1,2,1,No,Yes,2025-10-03
R00465,62,F,East,1,5,3,No,No,2025-07-03
R00466,41,F,Central,1,1,5,Yes,Yes,2025-02-12
R00467,20,PreferNot,South,1,2,5,Yes,Yes,2025-01-11
R00468,62,F,Central,2,1,3,Yes,No,2025-03-14
R00469,22,M,East,5,1,3,No,Yes,2025-10-21
R00470,63,F,South,3,3,4,No,Yes,2025-07-13
R00471,70,Nonbinary,South,3,2,1,No,Yes,2025-03-18
R00472,80,Nonbinary,Central,3,2,4,Yes,Yes,2025-09-13
R00473,73,PreferNot,West,5,3,3,No,Yes,2025-05-23
R00474,53,Nonbinary,South,1,5,3,Yes,Yes,2025-05-21
R00475,56,F,North,5,1,5,Yes,No,2025-10-18
R00476,61,F,East,2,1,4,No,No,2025-05-24
R00477,36,M,West,1,2,5,No,No,2025-01-02
R00478,77,F,Central,1,1,3,Yes,Yes,2025-07-14
R00479,38,PreferNot,North,5,5,2,No,No,2025-09-23
R00480,42,F,North,3,5,1,Yes,Yes,2025-12-03
R00481,43,M,South,4,1,4,No,No,2025-03-14
R00482,25,PreferNot,West,4,1,5,No,Yes,2025-05-04
R00483,18,Nonbinary,West,1,5,1,Yes,Yes,2025-07-11
R00484,53,Nonbinary,Central,5,3,4,No,No,2025-01-24
R00485,56,F,Central,1,5,3,No,No,2025-02-25
R00486,74,PreferNot,South,1,1,3,No,Yes,2025-10-13
R00487,30,M,South,1,4,5,Yes,No,2025-05-05
R00488,47,Nonbinary,West,3,3,5,Yes,No,2025-03-19
R00489,76,PreferNot,Central,4,3,5,No,Yes,2025-10-10
R00490,46,F,North,3,5,1,No,No,2025-08-03
R00491,31,M,Central,2,2,2,Yes,Yes,2025-09-19
R00492,55,Nonbinary,East,5,5,2,Yes,No,2025-01-27
R00493,43,F,Central,5,1,2,No,No,2025-11-19
R00494,39,PreferNot,North,3,4,1,No,No,2025-11-13
R00495,29,M,East,1,1,1,No,Yes,2025-11-23
R00496,39,F,East,5,4,3,No,No,2025-11-25
R00497,59,Nonbinary,North,1,5,4,Yes,No,2025-04-11
R00498,23,Nonbinary,South,1,2,1,No,Yes,2025-02-13
R00499,51,PreferNot,East,3,5,3,Yes,Yes,2025-12-13
R00500,20,F,South,4,5,1,Yes,No,2025-12-08
